#        E [H]          <xx>          <yy>          <zz>           <f>
  0.000000E+00  3.032953E-02  3.033030E-02  3.033095E-02  3.033026E-02
  5.000000E-04  3.039007E-02  3.039084E-02  3.039149E-02  3.039080E-02
  1.000000E-03  3.045081E-02  3.045158E-02  3.045223E-02  3.045154E-02
  1.500000E-03  3.051174E-02  3.051251E-02  3.051316E-02  3.051247E-02
  2.000000E-03  3.057286E-02  3.057364E-02  3.057429E-02  3.057359E-02
  2.500000E-03  3.063418E-02  3.063496E-02  3.063561E-02  3.063492E-02
  3.000000E-03  3.069570E-02  3.069648E-02  3.069713E-02  3.069643E-02
  3.500000E-03  3.075741E-02  3.075819E-02  3.075885E-02  3.075815E-02
  4.000000E-03  3.081933E-02  3.082011E-02  3.082076E-02  3.082007E-02
  4.500000E-03  3.088144E-02  3.088222E-02  3.088288E-02  3.088218E-02
  5.000000E-03  3.094375E-02  3.094454E-02  3.094520E-02  3.094450E-02
  5.500000E-03  3.100627E-02  3.100705E-02  3.100771E-02  3.100701E-02
  6.000000E-03  3.106899E-02  3.106977E-02  3.107043E-02  3.106973E-02
  6.500000E-03  3.113191E-02  3.113269E-02  3.113336E-02  3.113265E-02
  7.000000E-03  3.119503E-02  3.119582E-02  3.119648E-02  3.119578E-02
  7.500000E-03  3.125836E-02  3.125915E-02  3.125982E-02  3.125911E-02
  8.000000E-03  3.132190E-02  3.132269E-02  3.132336E-02  3.132265E-02
  8.500000E-03  3.138564E-02  3.138643E-02  3.138710E-02  3.138639E-02
  9.000000E-03  3.144959E-02  3.145039E-02  3.145105E-02  3.145034E-02
  9.500000E-03  3.151375E-02  3.151455E-02  3.151522E-02  3.151451E-02
  1.000000E-02  3.157812E-02  3.157892E-02  3.157959E-02  3.157888E-02
  1.050000E-02  3.164270E-02  3.164350E-02  3.164417E-02  3.164346E-02
  1.100000E-02  3.170750E-02  3.170830E-02  3.170897E-02  3.170825E-02
  1.150000E-02  3.177250E-02  3.177331E-02  3.177398E-02  3.177326E-02
  1.200000E-02  3.183772E-02  3.183853E-02  3.183920E-02  3.183848E-02
  1.250000E-02  3.190316E-02  3.190396E-02  3.190464E-02  3.190392E-02
  1.300000E-02  3.196881E-02  3.196962E-02  3.197029E-02  3.196957E-02
  1.350000E-02  3.203468E-02  3.203548E-02  3.203616E-02  3.203544E-02
  1.400000E-02  3.210076E-02  3.210157E-02  3.210225E-02  3.210153E-02
  1.450000E-02  3.216707E-02  3.216788E-02  3.216856E-02  3.216783E-02
  1.500000E-02  3.223359E-02  3.223440E-02  3.223508E-02  3.223436E-02
  1.550000E-02  3.230034E-02  3.230115E-02  3.230183E-02  3.230111E-02
  1.600000E-02  3.236730E-02  3.236812E-02  3.236880E-02  3.236807E-02
  1.650000E-02  3.243449E-02  3.243531E-02  3.243599E-02  3.243527E-02
  1.700000E-02  3.250191E-02  3.250273E-02  3.250341E-02  3.250268E-02
  1.750000E-02  3.256955E-02  3.257037E-02  3.257105E-02  3.257032E-02
  1.800000E-02  3.263741E-02  3.263824E-02  3.263892E-02  3.263819E-02
  1.850000E-02  3.270551E-02  3.270633E-02  3.270702E-02  3.270629E-02
  1.900000E-02  3.277383E-02  3.277466E-02  3.277534E-02  3.277461E-02
  1.950000E-02  3.284238E-02  3.284321E-02  3.284390E-02  3.284316E-02
  2.000000E-02  3.291116E-02  3.291199E-02  3.291268E-02  3.291195E-02
  2.050000E-02  3.298018E-02  3.298101E-02  3.298170E-02  3.298096E-02
  2.100000E-02  3.304943E-02  3.305026E-02  3.305095E-02  3.305021E-02
  2.150000E-02  3.311891E-02  3.311974E-02  3.312043E-02  3.311969E-02
  2.200000E-02  3.318862E-02  3.318946E-02  3.319015E-02  3.318941E-02
  2.250000E-02  3.325858E-02  3.325941E-02  3.326011E-02  3.325937E-02
  2.300000E-02  3.332877E-02  3.332961E-02  3.333030E-02  3.332956E-02
  2.350000E-02  3.339920E-02  3.340004E-02  3.340073E-02  3.339999E-02
  2.400000E-02  3.346986E-02  3.347071E-02  3.347140E-02  3.347066E-02
  2.450000E-02  3.354077E-02  3.354162E-02  3.354232E-02  3.354157E-02
  2.500000E-02  3.361192E-02  3.361277E-02  3.361347E-02  3.361272E-02
  2.550000E-02  3.368332E-02  3.368417E-02  3.368487E-02  3.368412E-02
  2.600000E-02  3.375496E-02  3.375581E-02  3.375651E-02  3.375576E-02
  2.650000E-02  3.382684E-02  3.382769E-02  3.382840E-02  3.382764E-02
  2.700000E-02  3.389897E-02  3.389983E-02  3.390053E-02  3.389978E-02
